index,name,district,official,cov,cov_centres,bM,jM,bF,jF,adv,belt,jam_won,men_lead,women_lead,both_lead
187,Dhaka-14,Dhaka,Jamaat,86.7,86.7,38.51595473434092,49.7813751125674,41.19670829605172,48.470718705498356,-1.3106564070690467,False,True,Jamaat,Jamaat,Jamaat
188,Dhaka-15,Dhaka,Jamaat,97.6,97.6,40.834753414553504,57.06946104738408,43.30584822110246,54.42052221713239,-2.6489388302516943,False,True,Jamaat,Jamaat,Jamaat
189,Dhaka-16,Dhaka,Jamaat,96.7,96.4,46.13882956923143,50.29120559114735,48.87686197867729,47.49752571378459,-2.793679877362763,False,True,Jamaat,BNP,Jamaat
190,Dhaka-17,Dhaka,BNP,93.2,93.5,49.33200371564396,47.72280203267581,51.53816621876513,44.82631991854312,-2.896482114132688,False,False,BNP,BNP,BNP
191,Dhaka-18,Dhaka,BNP,90.9,91.7,53.34268027335969,0.0,53.18673477052505,0.0,0.0,False,False,BNP,BNP,BNP
192,Dhaka-19,Dhaka,BNP,81.4,82.9,54.33167424078482,0.0,55.66943991766018,0.0,0.0,False,False,BNP,BNP,BNP
193,Dhaka-20,Dhaka,BNP,37.8,42.2,67.90134630614322,0.0,70.76961394769614,0.0,0.0,False,False,BNP,BNP,BNP
194,Gazipur-1,Gazipur,BNP,52.3,48.9,47.8247118358167,47.82705463405492,51.133243606998654,45.49394347240915,-2.3331111616457676,False,False,Jamaat,BNP,BNP
195,Gazipur-2,Gazipur,BNP,77.3,78.7,52.09333148845372,0.0,52.15568707962169,0.0,0.0,False,False,BNP,BNP,BNP
196,Gazipur-3,Gazipur,BNP,48.8,48.9,53.203315857374214,0.0,54.33219342260858,0.0,0.0,False,False,BNP,BNP,BNP
197,Gazipur-4,Gazipur,Jamaat,17.7,19.7,44.89417007055329,51.42963238024508,42.1271742229826,55.249500998003995,3.819868617758914,False,True,Jamaat,Jamaat,Jamaat
198,Gazipur-5,Gazipur,BNP,21.9,24.2,63.89499340712031,30.315259519718705,62.237199050525604,33.25279755849441,2.9375380387757026,False,False,BNP,BNP,BNP
199,Narsingdi-1,Narsingdi,BNP,43.2,46.5,60.016326808279054,33.80839810200854,60.871352240032884,33.84149758995628,0.03309948794774442,False,False,BNP,BNP,BNP
200,Narsingdi-2,Narsingdi,BNP,33.3,37.4,53.95619292237443,33.386843607305934,54.131635839538795,32.68876611418048,-0.698077493125453,False,False,BNP,BNP,BNP
201,Narsingdi-3,Narsingdi,BNP,25.9,27.7,54.629629629629626,2.3396567299006326,56.47873392680514,3.433658329800763,1.0940015999001305,False,False,BNP,BNP,BNP
202,Narsingdi-4,Narsingdi,BNP,19.7,21.0,69.32199694789622,25.698713756267715,71.26950727687182,24.145186743819043,-1.5535270124486722,False,False,BNP,BNP,BNP
203,Narsingdi-5,Narsingdi,BNP,12.8,13.2,54.905913978494624,0.0,55.96236318248736,0.0,0.0,False,False,BNP,BNP,BNP
204,Narayanganj-1,Narayanganj,BNP,38.0,41.9,59.881561571475736,36.68289864641796,58.19780525717467,38.7629631348166,2.0800644883986408,False,False,BNP,BNP,BNP
205,Narayanganj-2,Narayanganj,BNP,22.9,25.4,54.896888435473294,32.79530714858267,51.717719418929306,37.474203860316436,4.678896711733763,False,False,BNP,BNP,BNP
206,Narayanganj-3,Narayanganj,BNP,59.3,60.0,44.25036836935167,42.870006548788474,45.93432102136956,42.71409389863681,-0.155912650151663,False,False,BNP,BNP,BNP
207,Narayanganj-4,Narayanganj,Other,82.6,82.5,0.0,0.0,0.0,0.0,0.0,False,False,BNP,BNP,BNP
208,Narayanganj-5,Narayanganj,BNP,43.9,44.2,45.98064009767158,0.0,47.396686503410955,0.0,0.0,False,False,BNP,BNP,BNP
209,Rajbari-1,Rajbari,BNP,35.2,34.6,59.25273249837414,37.52701030062727,59.76022536195488,37.77433232153386,0.24732202090659428,False,False,BNP,BNP,BNP
210,Rajbari-2,Rajbari,BNP,15.6,17.2,66.15911961031932,0.0,66.71128784597819,0.0,0.0,False,False,BNP,BNP,BNP
213,Faridpur-3,Faridpur,BNP,16.6,16.9,56.49651429373509,41.04711551958078,55.295505949454224,42.82623660143574,1.77912108185496,False,False,BNP,BNP,BNP
214,Faridpur-4,Faridpur,BNP,10.7,11.6,46.54776005016373,27.025708911029053,46.09703913313548,29.360204292911863,2.3344953818828102,False,False,BNP,BNP,BNP
216,Gopalganj-2,Gopalganj,Other,13.6,15.9,29.89385588895693,0.0,33.45132743362832,0.0,0.0,False,False,BNP,BNP,BNP
217,Gopalganj-3,Gopalganj,BNP,24.2,27.8,44.363674673409186,0.0,49.506720045753504,0.0,0.0,False,False,BNP,BNP,BNP
219,Madaripur-2,Madaripur,Other,11.3,12.4,51.70836696260425,0.0,52.901419329921794,0.0,0.0,False,False,BNP,BNP,BNP
221,Shariatpur-1,Shariatpur,BNP,22.7,24.5,48.31668331668332,0.0,46.89996903065965,0.0,0.0,False,False,BNP,BNP,BNP
223,Shariatpur-3,Shariatpur,BNP,13.6,15.4,59.89362522161412,31.380559623834117,56.403718022538456,36.448136875873985,5.067577252039868,False,False,BNP,BNP,BNP
224,Sunamganj-1,Sunamganj,BNP,14.7,15.8,57.21264367816092,42.327586206896555,58.26601714250478,41.27150521058149,-1.0560809963150675,False,False,BNP,BNP,BNP
229,Sylhet-1,Sylhet,BNP,52.2,53.5,54.104486695717796,43.77997419480488,56.007709077122364,42.33041610059714,-1.4495580942077382,False,False,BNP,BNP,BNP
231,Sylhet-3,Sylhet,BNP,12.5,13.2,64.32233374250849,0.0,65.33655783958082,0.0,0.0,False,False,BNP,BNP,BNP
232,Sylhet-4,Sylhet,BNP,18.3,19.8,65.12685914260717,32.78040244969379,68.66862662746745,29.404661906761866,-3.375740542931922,False,False,BNP,BNP,BNP
233,Sylhet-5,Sylhet,Other,17.0,19.0,0.0,0.0,0.0,0.0,0.0,False,False,BNP,BNP,BNP
234,Sylhet-6,Sylhet,BNP,16.4,17.7,42.484353452848204,41.635727166648984,40.390690477725485,48.65579266327123,7.020065496622244,False,False,BNP,Jamaat,Jamaat
